,index,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
15,15,Barbara Rae-Venter,PIONEERS,2019,/collection/100-most-influential-people-2019/5567712/barbara-rae-venter,Null,Null,"Born: July 17, 1948 (age 72 years), Auckland, New Zealand",Barbara Rae-Venter is a New Zealand-born American genetic genealogist and retired patent attorney best known for her work helping police and investigators identify a suspect in the Golden State Killer case. ,"Auckland, New Zealand","July 17, 1948",72,her
16,16,He Jiankui,PIONEERS,2019,/collection/100-most-influential-people-2019/5567707/he-jiankui,Null,Null,"Born: 1984 (age 36 years), Xinhua County, Loudi, China","He Jiankui is a Chinese biophysics researcher who was an associate professor in the Department of Biology of the Southern University of Science and Technology in Shenzhen, China. ","Xinhua County, Loudi, China",1984,36,He
17,17,Aileen Lee,PIONEERS,2019,/collection/100-most-influential-people-2019/5567702/aileen-lee,Null,Null,"Born: 1970 (age 50 years), Staten Island, New York, NY","Aileen Lee is a U.S. seed investor. A venture capital investor, she is the founder of Cowboy Ventures. Lee coined the often-used Silicon Valley term unicorn in a TechCrunch article ""Welcome To The Unicorn Club: Learning from Billion-Dollar Startups"" as profiled in The New York Times. ","Staten Island, New York, NY",1970,50,she
18,18,Jay O'Neal and Emily Comer,PIONEERS,2019,/collection/100-most-influential-people-2019/5567709/jay-oneal-emily-comer,Null,Null,Null,Null,,,,
19,19,Shep Doeleman,PIONEERS,2019,/collection/100-most-influential-people-2019/5572134/shep-doeleman,Null,Null,"Born: 1967 (age 53 years), Wilsele, Leuven, Belgium","Sheperd ""Shep"" S. Doeleman is an American astrophysicist. His research focuses on super massive black holes with sufficient resolution to directly observe the event horizon. ","Wilsele, Leuven, Belgium",1967,53,His
20,21,Dwayne Johnson,ARTISTS,2019,/collection/100-most-influential-people-2019/5567856/dwayne-johnson,Null,Null,"Born: May 2, 1972 (age 48 years), Hayward, CA","Dwayne Douglas Johnson, also known by his ring name the Rock, is an American-Canadian actor, producer, businessman, retired professional wrestler, and former American football and Canadian football player. He wrestled for the World Wrestling Federation for eight years prior to pursuing an acting career. ","Hayward, CA","May 2, 1972",48,his
21,22,Regina King,ARTISTS,2019,/collection/100-most-influential-people-2019/5567860/regina-king,Null,Null,"Born: January 15, 1971 (age 49 years), Los Angeles, CA","Regina Rene King is an American actress and director. She is the recipient of several awards, including an Academy Award, a Golden Globe Award, and four acting Primetime Emmy Awards, the most for an African-American performer. Time magazine named her one of the 100 most influential people in the world in 2019. ","Los Angeles, CA","January 15, 1971",49,She
22,23,Khalid,ARTISTS,2019,/collection/100-most-influential-people-2019/5567874/khalid,Null,Null,"Born: February 11, 1998 (age 22 years), Fort Stewart, GA",Khalid Donnel Robinson is an American singer and songwriter. He is signed to Right Hand Music Group and RCA Records. ,"Fort Stewart, GA","February 11, 1998",22,He
23,24,Emilia Clarke,ARTISTS,2019,/collection/100-most-influential-people-2019/5567865/emilia-clarke,Null,Null,"Born: October 23, 1986 (age 34 years), London, United Kingdom","Emilia Isobel Euphemia Rose Clarke is an English actress. She studied at the Drama Centre London, appearing in a number of stage productions, including one by the Company of Angels. Her television debut came with a guest appearance in an episode of the BBC One medical soap opera Doctors in 2009. ","London, United Kingdom","October 23, 1986",34,She
24,25,BTS,ARTISTS,2019,/collection/100-most-influential-people-2019/5567876/bts,Null,Null,Film: Burn the Stage: The Movie,"BTS, also known as the Bangtan Boys, is a seven-member South Korean boy band that began formation in 2010 and debuted in 2013 under Big Hit Entertainment. The septet—composed of RM, Jin, Suga, J-Hope, Jimin, V, and Jungkook—co-writes and co-produces much of their own output. ",,,,
25,26,Brie Larson,ARTISTS,2019,/collection/100-most-influential-people-2019/5567861/brie-larson,Null,Null,"Born: October 1, 1989 (age 31 years), Sacramento, CA","Brianne Sidonie Desaulniers, known professionally as Brie Larson, is an American actress and filmmaker. ","Sacramento, CA","October 1, 1989",31,
26,27,Joanna and Chip Gaines,ARTISTS,2019,/collection/100-most-influential-people-2019/5567870/joanna-chip-gaines,Null,Null,"First episode date: May 23, 2013","Chip and Joanna Gaines own and operate Magnolia Homes, a remodeling and design business in Waco, Texas, and ""Fixer Upper"" shows the process by which the couple turn dilapidated but potential-rich houses into showplaces that are helping revitalize whole neighborhoods throughout central Texas. Chip ma… MORE",,,,
27,28,Ariana Grande,ARTISTS,2019,/collection/100-most-influential-people-2019/5567873/ariana-grande,Null,Null,"Born: June 26, 1993 (age 27 years), Boca Raton, FL","Ariana Grande-Butera is an American singer and actress. Born in Boca Raton, Florida, Grande began her career at age 15 in the 2008 Broadway musical 13. She rose to fame for her role as Cat Valentine in the Nickelodeon television series Victorious and Sam & Cat. ","Boca Raton, FL","June 26, 1993",27,her
28,29,Mahershala Ali,ARTISTS,2019,/collection/100-most-influential-people-2019/5567869/mahershala-ali,Null,Null,"Born: February 16, 1974 (age 46 years), Oakland, CA","Mahershala Ali is an American actor and former rapper who is the recipient of several accolades, including two Academy Awards, three Screen Actors Guild Awards, a BAFTA award, a Golden Globe Award and a Primetime Emmy Award. Time magazine named him one of the 100 most influential people in the world in 2019. ","Oakland, CA","February 16, 1974",46,
29,30,Glenn Close,ARTISTS,2019,/collection/100-most-influential-people-2019/5567858/glenn-close,Null,Null,"Born: March 19, 1947 (age 73 years), Greenwich, CT","Glenn Close is an American actress and producer. ""Long considered one of the great actresses of our time"", according to Vanity Fair, she is the recipient of numerous awards, including three Primetime Emmy Awards, three Tony Awards, and three Golden Globe Awards. ","Greenwich, CT","March 19, 1947",73,she
30,31,Rami Malek,ARTISTS,2019,/collection/100-most-influential-people-2019/5567857/rami-malek,Null,Null,"Born: May 12, 1981 (age 39 years), Torrance, CA","Rami Said Malek is an American actor and producer. He is best known for portraying computer hacker Elliot Alderson in the USA Network television series Mr. Robot, for which he received accolades such ... ","Torrance, CA","May 12, 1981",39,He
31,32,Luchita Hurtado,ARTISTS,2019,/collection/100-most-influential-people-2019/5567871/luchita-hurtado,Null,Null,"Born: October 28, 1920, Caracas, Venezuela","Luchita Hurtado was a Venezuelan-born American painter based in Santa Monica, California, and Arroyo Seco, New Mexico. Born in Venezuela, she moved to the United States as a child. ",,,,she
32,33,Ozuna,ARTISTS,2019,/collection/100-most-influential-people-2019/5567875/ozuna,Null,Null,"Born: March 13, 1992 (age 28 years), San Juan, Puerto Rico","Juan Carlos Ozuna Rosado, known simply by his surname Ozuna, is a Puerto Rican reggaeton and Latin trap singer. All of his studio albums have reached the top of the Billboard Top Latin Albums, with Aura charting at number seven on the Billboard 200. ","San Juan, Puerto Rico","March 13, 1992",28,his
33,34,dream hampton,ARTISTS,2019,/collection/100-most-influential-people-2019/5567877/dream-hampton,Null,Null,"Born: 1972 (age 48 years), Detroit, MI","Dream Hampton is an American filmmaker, producer, and writer. Her work includes the 2019 Lifetime documentary series Surviving R. Kelly, which she executive produced, and the 2012 An Oversimplification of Her Beauty, which she co-executive produced. She co-wrote Jay-Z's 2010 memoir, Decoded. ","Detroit, MI",1972,48,Her
34,35,Richard Madden,ARTISTS,2019,/collection/100-most-influential-people-2019/5567867/richard-madden,Null,Null,"Born: June 18, 1986 (age 34 years), Elderslie, United Kingdom","Richard Madden is a Scottish actor. Born and raised in Renfrewshire near Glasgow, Madden rose to prominence in 2011 for his portrayal of Robb Stark in the first three seasons of HBO's fantasy drama Game of Thrones, for which he received the Screen International Award for Star of Tomorrow. ","Elderslie, United Kingdom","June 18, 1986",34,his
35,36,Yalitza Aparicio,ARTISTS,2019,/collection/100-most-influential-people-2019/5567863/yalitza-aparicio,Null,Null,"Born: December 11, 1993 (age 26 years), Tlaxiaco, Mexico","Yalitza Aparicio Martínez is a Mexican actress. She made her film debut as Cleo in Alfonso Cuarón's 2018 drama Roma, which earned her a nomination for the Academy Award for Best Actress. Yalitza Co-Hosted the 2020 Latin Grammys. In 2019, Time magazine named her one of the 100 most influential people in the world. ","Tlaxiaco, Mexico","December 11, 1993",26,She
36,37,Clare Waight Keller,ARTISTS,2019,/collection/100-most-influential-people-2019/5567872/clare-waight-keller,Null,Null,"Born: August 19, 1970 (age 50 years), United Kingdom","Clare Waight Keller is a British stylist and fashion designer, who has served as the Artistic Director for a number of luxury fashion houses and brands, including Pringle of Scotland, Chloé, and Givenchy. ",United Kingdom,"August 19, 1970",50,
37,38,Nancy Pelosi,ARTISTS,2019,/collection/100-most-influential-people-2019/5567750/nancy-pelosi-2,Null,Null,"Born: March 26, 1940 (age 80 years), Baltimore, MD","Nancy Patricia Pelosi is an American politician serving as Speaker of the United States House of Representatives since 2019, and previously from 2007 to 2011. Pelosi has served as a U.S. representative from California since 1987. ","Baltimore, MD","March 26, 1940",80,
38,39,Donald Trump,LEADERS,2019,/collection/100-most-influential-people-2019/5567754/donald-trump-3,Null,Null,"Born: June 14, 1946 (age 74 years), Jamaica Hospital Medical Center, New York, NY","Donald John Trump is the 45th and current president of the United States. Before entering politics, he was a businessman and television personality. ","Jamaica Hospital Medical Center, New York, NY","June 14, 1946",74,he
39,40,Greta Thunberg,LEADERS,2019,/collection/100-most-influential-people-2019/5567758/greta-thunberg,Null,Null,"Born: January 3, 2003 (age 17 years), Stockholm, Sweden",Greta Tintin Eleonora Ernman Thunberg is a Swedish environmental activist who is internationally known for challenging world leaders to take immediate action against climate change. ,"Stockholm, Sweden","January 3, 2003",17,
40,41,Andrés Manuel López Obrador,LEADERS,2019,/collection/100-most-influential-people-2019/5567771/andres-manuel-lopez-obrador,Null,Null,"Born: November 13, 1953 (age 67 years), Tepetitán, Tabasco, Mexico",Andrés Manuel López Obrador is the current president of Mexico who took office on 1 December 2018. ,"Tepetitán, Tabasco, Mexico","November 13, 1953",67,
41,42,Alexandria Ocasio-Cortez,LEADERS,2019,/collection/100-most-influential-people-2019/5567752/alexandria-ocasio-cortez,Null,Null,"Born: October 13, 1989 (age 31 years), The Bronx, New York, NY","Alexandria Ocasio-Cortez, also known by her initials AOC, is an American politician serving as the U.S. Representative for New York's 14th congressional district since 2019. The district includes the eastern part of the Bronx, portions of north-central Queens, and Rikers Island in New York City. ","The Bronx, New York, NY","October 13, 1989",31,her
42,43,Jacinda Ardern,LEADERS,2019,/collection/100-most-influential-people-2019/5567767/jacinda-ardern,Null,Null,"Born: July 26, 1980 (age 40 years), Hamilton, New Zealand","Jacinda Kate Laurell Ardern is a New Zealand politician who has been serving as the 40th prime minister of New Zealand and leader of the Labour Party since 2017. First elected to the House of Representatives as a list MP in 2008, she has been the member of Parliament for Mount Albert since March 2017. ","Hamilton, New Zealand","July 26, 1980",40,she
43,44,Juan Guaidó,LEADERS,2019,/collection/100-most-influential-people-2019/5567772/juan-guaido,Null,Null,"Born: July 28, 1983 (age 37 years), La Guaira, Venezuela","Juan Gerardo Guaidó Márquez is a Venezuelan politician, a former member of the social-democratic Popular Will party, federal deputy to the National Assembly representing the state of Vargas. ","La Guaira, Venezuela","July 28, 1983",37,
44,45,Abiy Ahmed,LEADERS,2019,/collection/100-most-influential-people-2019/5567759/abiy-ahmed,Null,Null,"Born: August 15, 1976 (age 44 years), Beshasha, Ethiopia",Abiy Ahmed Ali is an Ethiopian politician serving as 4th Prime Minister of the Federal Democratic Republic of Ethiopia since 2 April 2018. ,"Beshasha, Ethiopia","August 15, 1976",44,
45,46,Mitch McConnell,LEADERS,2019,/collection/100-most-influential-people-2019/5567755/mitch-mcconnell,Null,Null,"Born: February 20, 1942 (age 78 years), Sheffield, AL",Addison Mitchell McConnell Jr. is an American politician currently serving as Kentucky's senior United States senator and as Senate majority leader. ,"Sheffield, AL","February 20, 1942",78,
46,47,Brett Kavanaugh,LEADERS,2019,/collection/100-most-influential-people-2019/5567753/brett-kavanaugh,Null,Null,"Born: February 12, 1965 (age 55 years), Washington, D.C.","Brett Michael Kavanaugh is an Associate Justice of the Supreme Court of the United States. He was nominated by President Donald Trump on July 9, 2018, and has served since October 6, 2018. ","Washington, D.C.","February 12, 1965",55,He
47,48,Jane Goodall,LEADERS,2019,/collection/100-most-influential-people-2019/5567774/jane-goodall,Null,Null,"Born: April 3, 1934 (age 86 years), London, United Kingdom","Dame Jane Morris Goodall DBE, formerly Baroness Jane van Lawick-Goodall, is an English primatologist and anthropologist. ","London, United Kingdom","April 3, 1934",86,
48,49,Benjamin Netanyahu,LEADERS,2019,/collection/100-most-influential-people-2019/5567777/benjamin-netanyahu,Null,Null,"Born: October 21, 1949 (age 71 years), Tel Aviv-Yafo, Israel","Benjamin Netanyahu is an Israeli politician serving as Prime Minister of Israel since 2009, and previously from 1996 to 1999. Netanyahu is also the Chairman of the Likud – National Liberal Movement. ","Tel Aviv-Yafo, Israel","October 21, 1949",71,
49,50,Zhang Yiming,LEADERS,2019,/collection/100-most-influential-people-2019/5567716/zhang-yiming,Null,Null,"Born: April 1983 (age 37 years), Longyan, China","Zhang Yiming is a Chinese billionaire internet entrepreneur. He founded ByteDance in 2012 and developed the news aggregator Toutiao and the video sharing platform TikTok, formerly known as Musical.ly. ","Longyan, China",April 1983,37,He
50,51,Hoesung Lee,LEADERS,2019,/collection/100-most-influential-people-2019/5567776/hoesung-lee,Null,Null,"Born: December 31, 1945 (age 74 years), Yesan-gun, South Korea","Hoesung Lee is a South Korean economist and current chair of the Intergovernmental Panel on Climate Change. He is professor in the economics of climate change, energy and sustainable development in the Graduate School of Energy, Environment, Policy & Technology at Korea University in the Republic of Korea. ","Yesan-gun, South Korea","December 31, 1945",74,He
51,52,William Barr,LEADERS,2019,/collection/100-most-influential-people-2019/5567756/william-barr,Null,Null,"Born: May 23, 1950 (age 70 years), New York, NY","William Pelham Barr is an American attorney serving as the 85th United States Attorney General since 2019, previously holding the office from 1991 to 1993. From 1973 to 1977, Barr was employed by the Central Intelligence Agency during his schooling years. He then served as a law clerk to judge Malcolm Richard Wilkey. ","New York, NY","May 23, 1950",70,his
52,53,Pope Francis,LEADERS,2019,/collection/100-most-influential-people-2019/5567773/pope-francis-2,Null,Null,"Born: December 17, 1936 (age 83 years), Flores, Buenos Aires, Argentina","Pope Francis is the head of the Catholic Church and sovereign of the Vatican City State. Francis is the first Jesuit pope, the first from the Americas, the first from the Southern Hemisphere, and the first pope from outside Europe since the Syrian Gregory III, who reigned in the 8th century. ","Flores, Buenos Aires, Argentina","December 17, 1936",83,
53,54,Xi Jinping,LEADERS,2019,/collection/100-most-influential-people-2019/5567763/xi-jinping,Null,Null,"Born: June 15, 1953 (age 67 years), Beijing, China","Xi Jinping is a Chinese politician who has served as General Secretary of the Chinese Communist Party and Chairman of the Central Military Commission since 2012, and President of the People's Republic of China since 2013. ","Beijing, China","June 15, 1953",67,
54,55,Leana Wen,LEADERS,2019,/collection/100-most-influential-people-2019/5567751/leana-wen,Null,Null,"Born: January 27, 1983 (age 37 years), Shanghai, China","Leana Sheryle Wen is an American physician, an op-ed columnist with The Washington Post and a CNN medical analyst. She is a practicing physician, a former Health Commissioner for the City of Baltimore, and author of the book When Doctors Don't Listen: How to Avoid Misdiagnoses and Unnecessary Tests. ","Shanghai, China","January 27, 1983",37,She
55,56,Imran Khan,LEADERS,2019,/collection/100-most-influential-people-2019/5567764/imran-khan,Null,Null,"Born: October 5, 1952 (age 68 years), Lahore, Pakistan","Imran Ahmed Khan Niazi HI PP is the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf. Before entering politics, Khan was an international cricketer and captain of the Pakistan national cricket team, which he led to victory in the 1992 Cricket World Cup. ","Lahore, Pakistan","October 5, 1952",68,he
56,57,Crown Prince Mohamed bin Zayed,LEADERS,2019,/collection/100-most-influential-people-2019/5567769/crown-prince-mohamed-bin-zayed,Null,Null,"Born: March 11, 1961 (age 59 years), Al Ain, United Arab Emirates","Sheikh Mohammed bin Zayed bin Sultan Al Nahyan, colloquially known by his initials as MBZ, is the Crown Prince of the Emirate of Abu Dhabi and Deputy Supreme Commander of the United Arab Emirates Armed Forces. ","Al Ain, United Arab Emirates","March 11, 1961",59,his
57,58,Cyril Ramaphosa,LEADERS,2019,/collection/100-most-influential-people-2019/5567761/cyril-ramaphosa,Null,Null,"Born: November 17, 1952 (age 68 years), Soweto, South Africa",Matamela Cyril Ramaphosa is a South African politician serving as President of South Africa since 2018 and President of the African National Congress since 2017. ,"Soweto, South Africa","November 17, 1952",68,
58,59,Robert Mueller,LEADERS,2019,/collection/100-most-influential-people-2019/5567757/robert-mueller-2,Null,Null,"Born: August 7, 1944 (age 76 years), New York, NY",Robert Swan Mueller III is an American lawyer and government official who served as the sixth Director of the Federal Bureau of Investigation from 2001 to 2013. ,"New York, NY","August 7, 1944",76,
59,60,Mahathir Mohamad,LEADERS,2019,/collection/100-most-influential-people-2019/5567765/mahathir-mohamad,Null,Null,"Born: July 10, 1925 (age 95 years), Alor Setar, Malaysia","Mahathir bin Mohamad is a Malaysian politician, statesman, author and doctor who twice served as the 4th and 7th Prime Minister of Malaysia from July 1981 to October 2003 and again from May 2018 to March 2020. ","Alor Setar, Malaysia","July 10, 1925",95,
60,61,Matteo Salvini,LEADERS,2019,/collection/100-most-influential-people-2019/5567766/matteo-salvini,Null,Null,"Born: March 9, 1973 (age 47 years), Milan, Italy",Matteo Salvini is an Italian politician who served as Deputy Prime Minister of Italy and Minister of the Interior from 1 June 2018 to 5 September 2019. He has also been Federal Secretary of the Northern League since December 2013. He has been a Senator in the Italian Senate since March 2018. ,"Milan, Italy","March 9, 1973",47,He
61,62,Jair Bolsonaro,LEADERS,2019,/collection/100-most-influential-people-2019/5567770/jair-bolsonaro,Null,Null,"Born: March 21, 1955 (age 65 years), Glicério, State of São Paulo, Brazil","Jair Messias Bolsonaro is a Brazilian politician and retired military officer who is the 38th president of Brazil. Elected in 2018 as a member of the conservative Social Liberal Party before cutting ties with them, he has been in office since 1 January 2019. ","Glicério, State of São Paulo, Brazil","March 21, 1955",65,he
62,63,Zhang Kejian,LEADERS,2019,/collection/100-most-influential-people-2019/5567775/zhang-kejian,Null,Null,"Born: 1961 (age 59 years), Kunshan, Suzhou, China","Zhang Kejian is the Director of the China National Space Administration. Zhang was born in Kunshan, Jiangsu province. He joined the Communist Party in June 1992, ten years after starting work. He graduated from the PLA Academy of Science and Technology with a degree in physics. ","Kunshan, Suzhou, China",1961,59,He
63,64,Taylor Swift,LEADERS,2019,/collection/100-most-influential-people-2019/5567666/taylor-swift,Null,Null,"Born: December 13, 1989 (age 30 years), West Reading, PA","Taylor Alison Swift is an American singer-songwriter. Her narrative songwriting, which often centers around her personal life, has received widespread critical plaudits and media coverage. Born in West Reading, Pennsylvania, Swift relocated to Nashville, Tennessee in 2004 to pursue a career in country music. ","West Reading, PA","December 13, 1989",30,Her
64,65,Michelle Obama,ICONS,2019,/collection/100-most-influential-people-2019/5567670/michelle-obama,Null,Null,"Born: January 17, 1964 (age 56 years), Chicago, IL","Michelle LaVaughn Robinson Obama is an American attorney and author who was the First Lady of the United States from 2009 to 2017. She is married to the 44th president of the United States, Barack Obama, and was the first African-American First Lady. ","Chicago, IL","January 17, 1964",56,She
65,66,Spike Lee,ICONS,2019,/collection/100-most-influential-people-2019/5567680/spike-lee,Null,Null,"Born: March 20, 1957 (age 63 years), Atlanta, GA","Shelton Jackson ""Spike"" Lee is an American film director, producer, screenwriter, actor, and professor. His production company, 40 Acres and a Mule Filmworks, has produced more than 35 films since 1983. He made his directorial debut with She's Gotta Have It. ","Atlanta, GA","March 20, 1957",63,His
66,67,Christine Blasey Ford,ICONS,2019,/collection/100-most-influential-people-2019/5567675/christine-blasey-ford,Null,Null,"Born: November 28, 1966 (age 54 years)",Christine Margaret Blasey Ford is an American professor of psychology at Palo Alto University and a research psychologist at the Stanford University School of Medicine. She specializes in designing statistical models for research projects. ,,"November 28, 1966",54,She
67,68,David Hockney,ICONS,2019,/collection/100-most-influential-people-2019/5567668/david-hockney,Null,Null,"Born: July 9, 1937 (age 83 years), Bradford, United Kingdom","David Hockney, OM, CH, RA is an English painter, draftsman, printmaker, stage designer, and photographer. As an important contributor to the pop art movement of the 1960s, he is considered one of the most influential British artists of the 20th century. ","Bradford, United Kingdom","July 9, 1937",83,he
68,69,Desmond Meade,ICONS,2019,/collection/100-most-influential-people-2019/5567673/desmond-meade,Null,Null,"Born: July 22, 1967 (age 53 years), Saint Croix",Desmond Meade is a voting rights activist and Executive Director of the Florida Rights Restoration Coalition. ,Saint Croix,"July 22, 1967",53,
69,70,Lady Gaga,ICONS,2019,/collection/100-most-influential-people-2019/5567667/lady-gaga,Null,Null,"Born: March 28, 1986 (age 34 years), Lenox Hill Hospital, New York, NY","Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, is an American singer, songwriter, record producer, actress and businesswoman. She is known for her consistent image reinventions and versatility in both music and entertainment. ","Lenox Hill Hospital, New York, NY","March 28, 1986",34,She
70,71,Radhya Almutawakel,ICONS,2019,/collection/100-most-influential-people-2019/5567676/radhya-almutawakel,Null,Null,Nationality: Yemeni,"Radhya Al-Mutawakel is a human rights defender and the Yemeni co-founder and chairperson of Mwatana Organisation For Human Rights, an independent organisation working to defend and protect human rights in Yemen. ",,,,
71,72,Pierpaolo Piccioli,ICONS,2019,/collection/100-most-influential-people-2019/5567671/pierpaolo-piccioli,Null,Null,"Born: 1967 (age 53 years), Rome, Italy",Null,"Rome, Italy",1967,53,
72,73,Maria Ressa,ICONS,2019,/collection/100-most-influential-people-2019/5567672/maria-ressa,Null,Null,"Born: October 2, 1963 (age 57 years), Manila, Philippines","Maria Angelita Ressa is a Filipino-American journalist and author, best known for co-founding Rappler as its chief executive officer. She previously spent nearly two decades working as a lead investigative reporter in Southeast Asia for CNN. ","Manila, Philippines","October 2, 1963",57,She
